대분류코드,대분류명,중분류코드,중분류명,품목코드,품목명,등급,정의
A,기구·기계,A01000,진료대와 수술대,A01010.17,산부인과용 전동 유압식 분만대,1,산부인과에서 사용하는 전동 유압식 분만대
A,기구·기계,A01000,진료대와 수술대,A01010.18,전동식 진단용 엑스선 장치 진료대,1,엑스선을 이용하여 인체를 투시·촬영할 때 사용하는 전동식 진료대
A,기구·기계,A01000,진료대와 수술대,A01020.01,수동식 수술대,1,수술시 환자를 지지해주는 수동식 수술대
A,기구·기계,A01000,진료대와 수술대,A01020.02,수동 유압식 수술대,1,수술시 환자를 지지해주는 수동 유압식 수술대
A,기구·기계,A01000,진료대와 수술대,A01020.03,전동식 수술대,1,수술시 환자를 지지해주는 전동식 수술대
A,기구·기계,A01000,진료대와 수술대,A01020.04,전동 유압식 수술대,1,수술시 환자를 지지해주는 전동 유압식 수술대
A,기구·기계,A01000,진료대와 수술대,A01030.01,유아 가온장치,2,열원을 이용하여 유아의 체온을 유지하는 기구
A,기구·기계,A01000,진료대와 수술대,A01040.01,환자 고정 보조대,1,환자 진료 또는 주사 시에 환자의 자세를 유지 또는 고정하기 위해 사용되는 기구․기계. 천으로 만든 재료는 제외된다.
A,기구·기계,A01000,진료대와 수술대,A01050.01,수동식 방사선 치료대,1,방사선 치료 시 사용하는 수동식 환자 치료대
A,기구·기계,A01000,진료대와 수술대,A01050.02,수동 유압식 방사선 치료대,1,방사선 치료에 사용하는 수동 유압식 치료대
A,기구·기계,A01000,진료대와 수술대,A01050.03,전동식 방사선 치료대,1,방사선 치료에 사용하는 전동식 치료대
A,기구·기계,A01000,진료대와 수술대,A01050.04,전동 유압식 방사선 치료대,1,방사선 치료에  사용하는 전동 유압식 치료대
A,기구·기계,A01000,진료대와 수술대,A01060.01,수동식 진료용 의자,1,환자의 진단·검사 및 수술 시 환자를 지지해주는 수동식 의자
A,기구·기계,A01000,진료대와 수술대,A01060.02,전동식 진료용 의자,1,환자의 진단·검사 및 수술 시 환자를 지지해주는 전동식 의자
A,기구·기계,A02000,의료용 침대,A02010.01,수동식 의료용 침대,1,의료기관에서 환자 진료에 사용하는 수동식 침대
A,기구·기계,A02000,의료용 침대,A02010.02,전동식 의료용 침대,1,의료기관에서 환자 진료에 사용하는 전동식 침대
A,기구·기계,A02000,의료용 침대,A02020.01,의료용 공기분사 침대,2,욕창 등을 방지하고자 표면에서 공기를 내뿜는 기구
A,기구·기계,A02000,의료용 침대,A02030.01,의료용 순환 침대,2,"욕창 등을 방지하고자 물, 공기, 진흙, 모래 등이 순환하는 매트리스가 있는 기구"
A,기구·기계,A02000,의료용 침대,A02040.01,수동식 환자회전 침대,1,욕창 등을 방지하고자 환자를 회전하는 수동식 기구
A,기구·기계,A02000,의료용 침대,A02040.02,전동식 환자회전 침대,2,욕창 등을 방지하고자 환자를 회전하는 전동식 기구
A,기구·기계,A02000,의료용 침대,A02050.01,의료용 교대부양 매트리스,2,"매트리스의 공기방 등을 교대로 부풀려 신체의 압력 분포의 위치를 바꾸어 줌으로써 욕창 등을 방지하고자 사용하는 매트리스, 방석 등의 기구"
A,기구·기계,A02000,의료용 침대,A02050.02,의료용 압력분산 매트리스,1,"신체에 가해지는 압력을 분산하여 욕창 등을 방지하고자 사용하는 매트리스, 방석 등의 기구"
A,기구·기계,A02000,의료용 침대,A02060.01,의료용침대구동기구,1,수동식 침대에 장착하여 침대를 전동으로 구동하게 하는 장치
A,기구·기계,A03000,의료용 조명기,A03010.01,수술용 무영등,1,수술실 등에서 환부를 비추는 데에 사용하는 무영등
A,기구·기계,A03000,의료용 조명기,A03010.02,광파이버 수술용 조명등,1,수술실 등에서 환부를 비추기 위하여 광파이버를 사용하는 기구
A,기구·기계,A03000,의료용 조명기,A03020.01,일반용 조명용 광원장치,1,광섬유 등을 이용하여 환부에 빛을 비추는 일반조명용 광원장치
A,기구·기계,A03000,의료용 조명기,A03020.02,내시경용 광원장치,2,광섬유 등을 이용하여 환부에 빛을 비추는 내시경용 광원장치
A,기구·기계,A03000,의료용 조명기,A03030.01,의료용 헤드램프,1,"수술, 진단 등에 사용하고자 머리에 고정하는 조명용 기구"
A,기구·기계,A03000,의료용 조명기,A03040.01,진료용 조명등,1,환자의 진료 시에 사용하는 조명용 기구. 일반적으로 천정 또는 바닥 등에 고정되며 여러개의 조명기로 시스템의 이룰 수 있다.
A,기구·기계,A03000,의료용 조명기,A03040.02,안과용 철조기,1,투광법에 의해 구강전정을 통해 눈의 이면(망막)을 검사하는 데 사용하는 안과용 기기
A,기구·기계,A03000,의료용 조명기,A03040.03,엔토프토스코프,1,눈의 투광체 검사에 사용하는 안과용 기기
A,기구·기계,A03000,의료용 조명기,A03040.04,이동형 조명기,1,진료용 조명기의 모든 특성을 갖춘 이동형 조명기. 보통 경증의 진료 및 치료 시에 이용하며 한 장소에서 다른 장소로 쉽게 이동할 수 있다.
A,기구·기계,A03000,의료용 조명기,A03040.05,귀 조명기,1,귀 진료에 사용되는 조명 기구
A,기구·기계,A03000,의료용 조명기,A03040.06,치과용 조명기,1,치과수술 또는 검사 시 구강을 집중적으로 조명하는 기구
A,기구·기계,A03000,의료용 조명기,A03040.07,투광 조명등,1,"피부 및 연조직(유방, 음경내용물 등)을  반투명으로 조명하여 검사 등 진료를 위한 강한 광원을 갖춘 조명기구"
A,기구·기계,A03000,의료용 조명기,A03050.01,광선 환부 표시기,1,비간섭성 빛 또는 레이저로 환부의 위치를 표시해주는 기구
A,기구·기계,A04000,의료용 소독기,A04010.01,B형 소용량 고압증기 멸균기,2,"챔버의 용량이 60L 이하이며, 포화증기를 이용하여 포장된 혹은 포장되지 않은 고체류, 중공물품, 다공성 물품 등 의료용 제품을 멸균하는 기구"
A,기구·기계,A04000,의료용 소독기,A04010.02,N형 소용량 고압증기 멸균기,2,"챔버의 용량이 60L 이하이며, 포화증기를 이용하여 포장하지 않은 고체류의 의료용 제품을 멸균하는 기구"
A,기구·기계,A04000,의료용 소독기,A04010.03,S형 소용량 고압증기 멸균기,2,"챔버의 용량이 60L 이하이며, 포화증기를 이용하여 포장하지 않은 고체류의 제품과 제조자에 의해 특별히 명시된 의료용 제품을 멸균하는 기구"
A,기구·기계,A04000,의료용 소독기,A04010.04,대형 고압증기 멸균기,2,"챔버의 용량이 60L 초과이며, 포화증기를 이용하여 포장을 한 기구류 및 섬유류 등 의료용 제품을 멸균하는 기구"
A,기구·기계,A04000,의료용 소독기,A04020.01,의료용 자외선 소독기,2,의료용 제품을 자외선으로 소독하는 기구
A,기구·기계,A04000,의료용 소독기,A04025.01,의료용 적외선 소독기,2,의료용 제품을 적외선으로 소독하는 기구
A,기구·기계,A04000,의료용 소독기,A04030.01,의료용 열 소독기,2,의료용 제품을 습기가 있는 열 혹은 끓는 물로 소독하는 기구. 세척 및 건조공정을 포함할 수도 있다.
A,기구·기계,A04000,의료용 소독기,A04040.01,건열 멸균기,2,의료용 제품을 건열을 이용하여 멸균하는 기구
A,기구·기계,A04000,의료용 소독기,A04050.01,에틸렌옥사이드가스 멸균기,2,의료용 제품을 에틸렌옥사이드(EtO) 가스를 이용하여 멸균하는 기구
A,기구·기계,A04000,의료용 소독기,A04060.01,의료용 포름알데히드가스 소독기,2,의료용 제품을 포름알데히드가스를 이용하여 소독하는 기구
A,기구·기계,A04000,의료용 소독기,A04060.02,의료용 포름알데히드가스 멸균기,2,의료용 제품을 포름알데히드가스를 이용하여 멸균하는 기구
A,기구·기계,A04000,의료용 소독기,A04070.01,의료용 화학 소독기,2,의료용 제품을 화학제를 이용하여 소독하는 기구. 세척 및 건조공정을 포함할 수도 있다.
A,기구·기계,A04000,의료용 소독기,A04080.01,의료용 오존 소독기,2,의료용 제품을 오존을 이용하여 소독하는 기구
A,기구·기계,A04000,의료용 소독기,A04080.02,의료용 오존 멸균기,2,의료용 제품을 오존을 이용하여 멸균하는 기구
A,기구·기계,A04000,의료용 소독기,A04090.01,의료용 저온 플라즈마 멸균기,2,의료용 제품을 저온 플라즈마를 이용하여 멸균하는 기구
A,기구·기계,A04000,의료용 소독기,A04090.02,콘택트렌즈 소독기,2,재사용 콘택트렌즈를 소독하는 기구
A,기구·기계,A04000,의료용 소독기,A04090.03,경성 내시경용 세정 소독기,2,경성 내시경 관강 내에 소독액을 순환시켜 소독하는 기구. 건조기능이 있는 것도 있다.
A,기구·기계,A04000,의료용 소독기,A04090.04,연성 내시경용 세정 소독기,2,연성 내시경 관강내에 소독액을 순환시켜 소독하는 기구. 건조기능이 있는 것도 있다.
A,기구·기계,A04000,의료용 소독기,A04090.05,냉액 멸균기,2,"수술기구, 연성 및 경성 내시경 등을 냉액을 이용하여 멸균하는 기구"
A,기구·기계,A04000,의료용 소독기,A04090.06,미포장용 마이크로파 멸균기,2,포장되지 않은 수술기구 등을 마이크로파 열원을 이용하여 멸균하는 기구
A,기구·기계,A04000,의료용 소독기,A04090.07,포장용 마이크로파 멸균기,2,포장된 수술기구 등을 마이크로파 열원을 이용하여 멸균하는 기구
A,기구·기계,A04000,의료용 소독기,A04090.08,액체용 마이크로파 멸균기,2,밀봉용기의 용액 등 의료용 제품을 마이크로파 열원을 이용하여 멸균하는 기구
A,기구·기계,A04000,의료용 소독기,A04090.09,이산화염소가스 멸균기,2,의료용 제품을 이산화염소가스를 이용하여 멸균하는 기구
A,기구·기계,A05000,의료용 무균수 장치,A05010.01,의료용무균수장치,2,수술 전 수세 등에 사용하는 무균수를 제조하는 기구. 음용수를 제조하는 기구는 제외된다.
A,기구·기계,A06000,마취기,A06010.01,가스 마취기,3,환자에게 마취가스 등을 주입하여 마취하는 기구
A,기구·기계,A06000,마취기,A06010.02,마취용 기화기,3,휘발성 흡입마취제를 증발시키는 기구. 증발된 마취가스는 일정한 농도로 산소 및 아산화질소와 함께 환자의 폐내로 주입된다.
A,기구·기계,A06000,마취기,A06010.03,아산화질소가스 진정기,3,"아산화질소(일산화이질소) 가스를 이용하여 치과, 산부인과, 성형외과 등에서 진료 시 환자를 진정시키는 기구"
A,기구·기계,A06000,마취기,A06010.04,정맥 마취기,3,마취가스를 사용하지 않고 정맥마취를 하는 기구
A,기구·기계,A06000,마취기,A06020.01,전기 마취기,3,신경조직에 전류를 흘려 환자를 마취하는 기구
A,기구·기계,A07000,호흡 보조기,A07010.01,범용 인공호흡기,3,"일정량의 산소를 포함한 호흡가스를 환자에게 공급하여 환자의 호흡을 돕거나 조절하는 기구. 신생아·소아용, 고빈도  및 개인용 인공호흡기는 제외한다."
A,기구·기계,A07000,호흡 보조기,A07010.02,개인용 인공호흡기,3,일정량의 산소를 포함한 호흡가스를 환자에게 공급하여 환자의 호흡을 돕거나 조절하는 자동순환형 기구. 의사의 지도하에 가정에서 환자 또는 환자의 가족이 조작할 수 있도록 되어있다.
A,기구·기계,A07000,호흡 보조기,A07010.03,고빈도 인공호흡기,3,생리학적 호흡수보다도 높은 빈도의 호흡요구가 있는 환자에게 일정량의 산소를 포함한 호흡가스를 공급하여 호흡을 돕거나 조절하는 자동순환형 기구
A,기구·기계,A07000,호흡 보조기,A07010.04,마취용 인공호흡기,3,환자의 전신마취에 사용하는 인공호흡기로서 호흡상태의 변화 또는 위험한 조건 발생에 대한 경고장치를 갖추고 있다.
A,기구·기계,A07000,호흡 보조기,A07010.05,신생아·소아용 인공호흡기,3,"가변적인 호흡요구가 있는 신생아, 소아환자에게 장기적인 호흡을 지원하기 위해서 일정량의 산소를 포함한 호흡가스를 공급하여 호흡을 돕거나 조절하는 기구"
A,기구·기계,A07000,호흡 보조기,A07010.06,운반형 인공호흡기,3,환자의 이송중 또는 의료기관 밖에서 환자에 대한 일정량의 산소를 포함한 호흡가스를 환자에게 공급하여 환자의 호흡을 돕거나 조절하는 자급식 가스공급기구. 보통 전지전원식이나 공기압식이 있다.
A,기구·기계,A07000,호흡 보조기,A07010.07,음압 인공호흡기,3,흉벽를 음압으로 확장시켜 폐에 공기를 유입시키기 위한 자동순환형 기구.
A,기구·기계,A07000,호흡 보조기,A07010.08,양압 지속유지기,2,자발호흡 시에 지속적으로 기도양압을 지원하기 위해 이용하는 기구. 보통 기도폐색에 의한 수면 시 무호흡증의 환자에게 이용하며 센서를 이용하여 기도압을 자동적으로 조절한다.
A,기구·기계,A07000,호흡 보조기,A07010.09,수동식 심장펌프 인공소생기,3,심폐소생 시 흉부의 주기적 심장압박을 위해 이용하는 수동식 펌프. 공기압으로 제어하며 근골 및 내장손상을 막기 위해 압박력을 설정할 수 있다.
A,기구·기계,A07000,호흡 보조기,A07020.01,수동식 인공호흡기,2,"위급할 때 안면마스크나 환자의 기도에 삽입된 튜브를 통하여 호흡을 도와주는 수동식 기구로 재사용이 가능하다. 일반적으로 호흡낭(Bag)과 밸브를 포함하며, 보통 구급차, 구급실 등에서 사용된다."
A,기구·기계,A07000,호흡 보조기,A07020.02,일회용 수동식 인공호흡기,2,"위급할 때 안면마스크나 환자의 기도에 삽입된 튜브를 통하여 호흡을 도와주는 일회용 수동식 기구. 일반적으로 호흡낭(Bag)과 밸브를 포함하며 보통 구급차, 구급실 등에서 사용된다."
A,기구·기계,A07000,호흡 보조기,A07025.01,호흡기용 마스크,1,인공호흡을 하거나 산소를 공급하기 위하여 사용하는 마스크 등의 기구
A,기구·기계,A07000,호흡 보조기,A07025.02,에어로졸 마스크,1,"환자에게 에어로졸화한 물입자를 포함한 공기, 산소 또는 공기와 산소의 혼합가스를 공급하기 위해 이용하는 마스크. 보통 넓은 지름 튜브를 이용해 산소원 및 네브라이저에 접속한다."
A,기구·기계,A07000,호흡 보조기,A07025.03,부분 재호흡 마스크,1,"환자의 기도에 공기와 산소의 혼합가스를 공급하기 위해 이용하는 마스크. 호기가스와 신선가스의 혼합가스를 흡입하기 위해 이용하는 리저버백이 있으며, 보통 튜브를 이용하여 산소원에 접속한다."
A,기구·기계,A07000,호흡 보조기,A07025.04,비재호흡 마스크,1,기도에 공기와 혼합한 고농도의 산소를 공급하기 위해 코와 입에 설치하는 일회용 마스크. 2개의 한방향 밸브(흡기 시에 폐쇄하여 리저버백 내의 산소에 실내공기가 혼입하는 것을 막는 것과 호기 시에 폐쇄하여 호기가스가 리저버백에 유입하는 것을 막는 것)을 갖춘다.
A,기구·기계,A07000,호흡 보조기,A07025.05,가스 혼합 마스크,1,환자의 기도에 공기와 산소의 정확한 혼합가스를 공급하기 위해 코와 입에 설치하는 마스크. 산소농도를 제어하는 교환식 인서트(벤츄리)가 있으며 튜브를 이용해 산소원에 접속한다.
A,기구·기계,A07000,호흡 보조기,A07025.06,구급 소생 마스크,1,심폐소생 시 환자에게 산소를 투여하기 위해 코와 입에 설치하는 마스크. 구강 대 구강 소생법의 대체를 목적으로 하고 교차감염을 방지할 수 있다.
A,기구·기계,A07000,호흡 보조기,A07030.01,산소 공급기,2,환자의 호흡을 위한 산소 용기가 있는 기구로서 튜브와 산소마스크를 같이 사용한다.
A,기구·기계,A07000,호흡 보조기,A07030.02,의료용 산소 혼합 공급기,2,일정 비율의 산소를 공급하는 기구
A,기구·기계,A07000,호흡 보조기,A07040.01,의료용 산소 발생기,2,"화학 반응이나 여과, 흡착 등 물리적인 방법에 따라 호흡용 산소를 공급하는 기구"
A,기구·기계,A07000,호흡 보조기,A07050.01,수동식 의료용 산소 천막,1,환자의 머리에 덮어 호흡용 산소를 투여하는 수동식 기구
A,기구·기계,A07000,호흡 보조기,A07050.02,수동식 국소 의료용 산소 소매,1,산소가 풍부한 가스를 피부에 적용하기 위해 이용하는 수동식 소매(슬리브). 손발을 봉하거나 두부에서부터 아래의 신체를 감쌀 수가 있다.
A,기구·기계,A07000,호흡 보조기,A07050.03,전동식 의료용 산소 천막,2,환자의 머리를 덮어 호흡용 산소를 투여하는 전동식 기구. 온도와 습도를 조절하는 장치를 포함할 수 있다.
A,기구·기계,A07000,호흡 보조기,A07050.04,전동식 국소 의료용 산소 소매,2,산소가 풍부한 가스를 피부에 적용하기 위해 이용하는 전동식 소매(슬리브). 손발을 봉하거나 두부에서부터 아래의 신체를 감쌀 수가 있다.
A,기구·기계,A07000,호흡 보조기,A07060.01,의료용 온습도 조절기,2,환자의 호흡 가스를 데워주거나 습도를 조절하는 기구
A,기구·기계,A07000,호흡 보조기,A07070.01,외음압 호흡 보조장치,3,환자의 횡격막과 상부에 외부 음압을 주기적으로 가함으로써 호흡을 보조하는 챔버 형태의 기구
A,기구·기계,A07000,호흡 보조기,A07080.01,왕복식 호흡 보조대,2,복부의 중량을 이용하고자 환자를 반복적으로 움직여 횡격막의 움직임으로 환자의 호흡을 도와주는 기구
A,기구·기계,A07000,호흡 보조기,A07090.01,의료용 가스 공급장치,2,"산소, 마취가스 등을 중앙에서 공급하는 기구"
A,기구·기계,A07000,호흡 보조기,A07110.01,산화질소 전달장치,3,환자에게 산화질소를 일정하게 전달하고자 인공호흡기나 그 밖의 호흡 보조 기구에 연결하여 사용하는 장치
A,기구·기계,A08000,의료용 챔버,A08010.01,의료용 고압 산소챔버,2,대기압보다 높은 압력으로 산소를 가하여 환자의 조직으로 산소를 전달하는 기구. 단순히 기압조절을 위하여 사용되는 산업장비는 해당되지 않음
A,기구·기계,A08000,의료용 챔버,A08020.01,경피 산소챔버,2,환자의 사지를 챔버에 넣고 사용하는 기구. 대기압보다 약간 높은 압력으로 습기가 있는 산소를 공급한다.
A,기구·기계,A08000,의료용 챔버,A08030.01,복부 감압챔버,2,임신이나 출산 중에 복부의 통증을 완화하고자 복부의 압력을 줄이는 데에 사용하는 기구
A,기구·기계,A08000,의료용 챔버,A08040.01,환자 격리챔버,2,"화상 환자 또는 면역성이 약한 환자 등을 보호하기 위한 병실(챔버), 팬, 공기 여과기 등을 갖추고 있으며 외부의 오염을 막기 위하여 내부 압력을 약간 높게 유지하는 기구"
A,기구·기계,A09000,내장 기능 대용기,A09010.01,인공 심폐장치,4,"심장 수술 시 혈액이 심장을 통과하지 않고 흐르게 하여 심장수술을 용이하게 하는 장치. 기본 기능은 정맥에 산소를 공급하여 동맥에 바로 흐르도록 하는 것임. 보통 심장 내 흡인, 여과, 온도관리 등의 몇 가지 기능을 갖추고 있다. 본 장치는 모듈 및 펌프, 온도 조정기, 각종 모니터 등을 포함한다. 단일 장치 또는 모듈로 구성되어 있다."
A,기구·기계,A09000,내장 기능 대용기,A09020.01,심폐용 혈액 회로,3,환자의 혈액을 체외로 유도하고 재주입하기 위한 회로
A,기구·기계,A09000,내장 기능 대용기,A09030.01,심폐용 혈액 저장조,2,순환 혈액을 일시적으로 저장하는 기구
A,기구·기계,A09000,내장 기능 대용기,A09030.02,헤파린 사용 심폐용 혈액 저장조,3,순환 혈액을 일시적으로 저장하는 헤파린 사용 기구
A,기구·기계,A09000,내장 기능 대용기,A09040.01,심폐용 산화기,4,개심술을 시행할 때 환자 혈액에 산소를 공급하는 기구
A,기구·기계,A09000,내장 기능 대용기,A09050.01,심폐용 열 교환기,2,심폐 바이패스술 또는 치료시 혈액이나 관류액을 통과시켜 가온 또는 냉각시키는 기구. 주로 심폐용 온도 제어장치와 연결하여 사용한다.
A,기구·기계,A09000,내장 기능 대용기,A09050.02,헤파린 사용 심폐용 열 교환기,3,심폐 바이패스술 또는 치료를 목적으로 혈액 또는 관류액을 가온 또는 냉각하는 헤파린 사용  열 교환 시스템으로 이루어진 기기
A,기구·기계,A09000,내장 기능 대용기,A09060.01,심폐용 온도 제어장치,2,심폐용 열 교환기나 심폐용 산화기 등의 온도를 조절하고 모니터링하는 기기
A,기구·기계,A09000,내장 기능 대용기,A09070.01,심폐용 혈액 여과기,4,심장 절개술 시 흡인라인의 혈액의 흐름과 체외순환을 방해하는 이물질이나 혈전 등을 여과하기 위한 기구
A,기구·기계,A09000,내장 기능 대용기,A09080.01,심폐용 준비액 여과기,3,심폐회로의 준비액을 여과하기 위한 일회용 기구. 혈액의 정화에는 사용하지 않는다.
A,기구·기계,A09000,내장 기능 대용기,A09090.01,심폐용 라인 내 혈액 가스 모니터,3,"심폐장치의 모듈 중 하나로, 순환혈중의 가스농도 측정 및 감시에 이용하는 장치. 적절한 센서와 함께 사용한다."
A,기구·기계,A09000,내장 기능 대용기,A09090.02,호흡회로 가스 모니터,2,"호흡회로 내의 가스를 감지하는 기구. 환자에로의 가스 유입, 배출 등을 감시하도록 설계된다."
A,기구·기계,A09000,내장 기능 대용기,A09100.01,심폐용 수위감지 제어기,2,혈액 저장조의 혈액 수위를 감시하고 이미 설정된 범위를 벗어날 경우 경보를 울려주는 기구
A,기구·기계,A09000,내장 기능 대용기,A09100.02,보조 순환장치용 펌프,4,심부전 시의 혈액순환 유지에 이용하는 펌프. 심기능 유지를 인공보조에 의존하고 있는 환자의 순환보조(심부전 시의 혈액순환 보조)를 한다. 개심술 및 시술 후에 단기간 심장의 기능회복을 보조하기 위해 사용한다. 원심형식과 나선형식 등이 있다.
A,기구·기계,A09000,내장 기능 대용기,A09110.01,심폐용 혈액펌프,4,가스 교환 및 혈액의 재주입을 목적으로 혈액을 순환시키는 기구. 회전 롤러 방식 등이 있다.
A,기구·기계,A09000,내장 기능 대용기,A09120.01,심폐용 가스 제어장치,3,산소 공급기에서 공급되는 가스의 흐름을 측정하여 제어하는 기구
A,기구·기계,A09000,내장 기능 대용기,A09130.01,심폐용 기포 제거기,3,심폐 바이패스 수술 시에 혈액에서 기포를 제거하기 위해 이용하는 기기로 산소 공급기와 연결하여 사용된다. 혈액을 환자에게  되돌리기 전에 혈액에 필요한 산소를 첨가하는 데도 이용한다.
A,기구·기계,A09000,내장 기능 대용기,A09140.01,심폐용 기포 탐지기,2,관류라인 내의 기포를 탐지하여 경보를 울리거나 연결된 펌프를 멈추는 기구.
A,기구·기계,A09000,내장 기능 대용기,A09150.01,의료용 보조 순환장치,4,"대동맥 풍선 제어장치, 혈액 펌프장치, 보조 심장장치 등 심부전 환자의 혈액순환 보조를 위한 장치"
A,기구·기계,A09000,내장 기능 대용기,A09150.02,보조 심장장치,4,"흉부나 복부에 이식하는 보조 심장장치로서 인공 심실의 역할을 하는 펌프와 펌프에 연결된 전기 또는 공기 구동 외부 전원장치를 포함한다. 전원장치는 환자에게  부착되고, 배터리나 공압 콘솔을 포함한다."
A,기구·기계,A09000,내장 기능 대용기,A09150.03,대동맥 풍선 제어장치,4,심장기능을 보조하기 위하여 하행 대동맥에 삽입하는 풍선카테터로 구성된 제어장치로서 심장 수술 후 심장이 정상적인 기능을 하도록 순환을 보조 한다.
A,기구·기계,A09000,내장 기능 대용기,A09160.01,체외 기포형 인공 폐,3,환자의 가스교환 요건을 채우기 위해 혈액과 가스환경과의 가스교환에 이용하는 장치. 보통 개심술시에 이용한다.
A,기구·기계,A09000,내장 기능 대용기,A09160.02,체외 막형 인공 폐,3,"호흡부전 및 심폐부전의 치료나 호흡곤란 등을 경감하기 위하여 사용하는 기기. 체외에서의 혈액에 대한 산소를 특수한 막형 폐를 이용하여 혈액 속의 이산화탄소를 제거한다. 혈액펌프 사용 없이, 동정맥으로의 카테터 삽입을 필요로 한다. 중환자실에서 사용하며 15일 이상 사용이 가능하다."
A,기구·기계,A09000,내장 기능 대용기,A09160.03,헤파린 사용 체외식 막형 인공 폐,3,헤파린을 사용한 체외식막형인공폐
A,기구·기계,A09000,내장 기능 대용기,A09160.04,혈관 내 막형 인공 폐,4,막형 인공 폐의 일종으로 장시간에 걸쳐 체내에서의 가스교환을 지원하도록 설계된 기구
A,기구·기계,A09000,내장 기능 대용기,A09170.01,체온 조절장치,2,환자의 체온을 일정하게 유지하는 데에 사용하는 장치
A,기구·기계,A09000,내장 기능 대용기,A09180.01,복막 투석장치,3,"복강 내로 투석액을 주입하여 물질을 교환하는 시간을 부여한 후, 투석물을 제거하여 노폐물을 제거하는 데에 사용하는 장치"
A,기구·기계,A09000,내장 기능 대용기,A09190.01,복수·흉수 여과 농축기,3,복수 또는 흉수를 체외로 배출하고 농축 여과하여 혈액 중에 되돌리기 위해 사용하는 기기
A,기구·기계,A09000,내장 기능 대용기,A09200.01,인공 신장기,3,"신부전증 또는 중독증 환자에게 투석을 하는 기구. 체외 혈액 시스템과 투석기, 투석액 공급 장치 등으로 구성되어 있으며 체외 혈액 시스템은 튜브, 펌프, 압력 모니터, 기포 탐지기, 경보장치 등으로 되어있다. 한외 여과 조절기가 필요한 고투과성 인공 신장기는 여기에서 제외된다."
A,기구·기계,A09000,내장 기능 대용기,A09210.01,고투과성 인공 신장기,3,"신부전증 또는 중독증 환자에게 투석을 하는 기구. 체외 혈액 시스템과 투과성이 높은 투석기, 한외 여과 조절기, 투석액 공급 장치 등으로 구성되어 있다."
A,기구·기계,A09000,내장 기능 대용기,A09210.02,자가 투석 인공 신장기,3,신부전증 또는 중독증 환자에게 투석을 하는 기구. 별도의 정수장치의 설치나 소독 등 기능이 필요없이 환자가 가정에서도 직접 투석이 가능토록 설계된 장치
A,기구·기계,A09000,내장 기능 대용기,A09220.01,인공 신장기용 혈액회로,2,"혈액 투석(혈액여과, 혈액투석여과를 포함)을 목적으로 한 혈액회로"
A,기구·기계,A09000,내장 기능 대용기,A09220.02,헤파린 사용 인공 신장기용 혈액회로,3,헤파린을 사용한 인공신장기용 혈액회로
A,기구·기계,A09000,내장 기능 대용기,A09220.03,복막 투석장치용 회로,2,복막 투석장치 사용 시 복강 내로 약물을 주입 또는 배액을 할 수 있도록 설계된 회로
